time,ax,ay,az,gx,gy,gz
0.0,0.899,-0.0293,0.4019,-1.27,2.062,2.487
25.0,0.8931,-0.0334,0.4186,2.738,1.611,1.471
38.0,0.8928,-0.0199,0.4143,3.661,1.054,1.502
51.0,0.8916,-0.0182,0.4156,2.097,0.581,2.006
64.0,0.8916,-0.031,0.4049,0.494,0.382,2.304
77.0,0.8941,-0.046,0.3988,0.142,0.627,2.082
90.0,0.8986,-0.0477,0.3936,0.952,1.184,1.693
103.0,0.8985,-0.0497,0.3911,1.272,1.673,1.105
116.0,0.8988,-0.0481,0.3996,2.127,2.413,0.594
129.0,0.8936,-0.04,0.4047,2.684,2.955,0.41
142.0,0.8889,-0.0338,0.4124,2.28,3.054,0.09
155.0,0.8826,-0.0321,0.4157,1.196,2.695,-0.147
168.0,0.8829,-0.0319,0.4132,0.532,2.054,-0.292
181.0,0.883,-0.03,0.4063,0.417,1.26,0.059
194.0,0.8881,-0.0234,0.3999,1.005,0.474,0.815
207.0,0.9008,-0.0232,0.387,0.112,0.421,1.067
220.0,0.9088,-0.0297,0.3747,-1.361,1.459,1.09
233.0,0.9007,-0.0457,0.3766,-1.972,2.856,0.975
246.0,0.8944,-0.0513,0.3786,-0.819,3.833,0.708
259.0,0.8878,-0.0426,0.3777,0.226,4.352,0.533
272.0,0.887,-0.037,0.3805,-0.888,4.642,0.693
285.0,0.8913,-0.047,0.3794,-2.392,4.619,0.853
298.0,0.9051,-0.058,0.3756,-2.125,4.749,0.8
311.0,0.9117,-0.0681,0.3842,-0.048,5.169,0.426
324.0,0.9201,-0.0554,0.3919,2.127,6.092,0.433
337.0,0.913,-0.0382,0.4036,2.6,7.321,0.792
350.0,0.8962,-0.0336,0.4283,0.73,8.161,1.09
363.0,0.8803,-0.0332,0.445,-1.606,7.993,1.166
376.0,0.869,-0.0469,0.4485,-3.361,6.535,0.815
389.0,0.8657,-0.061,0.4525,-3.4,4.1,0.136
402.0,0.8841,-0.069,0.4369,-0.827,1.863,-1.071
415.0,0.9097,-0.0564,0.4222,1.845,1.016,-2.261
428.0,0.9157,-0.0305,0.4248,3.494,1.947,-3.093
441.0,0.9085,-0.0035,0.4269,3.906,3.298,-3.017
454.0,0.901,0.0206,0.4151,1.494,5.558,-2.658
467.0,0.8775,0.0319,0.4406,-3.216,5.787,-1.399
480.0,0.8715,0.0088,0.4291,-5.781,4.115,-0.643
493.0,0.8819,-0.0145,0.4169,-4.972,3.337,-0.62
506.0,0.8988,-0.0223,0.4126,-1.774,2.421,-0.231
519.0,0.9137,-0.0198,0.4043,0.845,3.1,-0.154
532.0,0.9113,-0.0033,0.4115,1.936,5.016,-0.055
545.0,0.8917,0.0044,0.4185,0.898,6.344,0.143
558.0,0.8667,-0.0067,0.4181,-2.193,6.665,-0.177
571.0,0.8617,-0.0259,0.4243,-4.423,5.558,-0.49
584.0,0.8844,-0.0522,0.4165,-3.11,4.092,-0.964
597.0,0.911,-0.0599,0.4119,1.669,3.779,-1.208
610.0,0.9233,-0.0431,0.4179,7.234,4.81,-1.193
623.0,0.9138,-0.0079,0.4298,7.692,6.764,-0.681
636.0,0.8927,0.0059,0.444,4.043,7.749,-0.3
649.0,0.8774,-0.0067,0.4589,-0.743,7.405,-0.017
662.0,0.8724,-0.036,0.4637,-2.43,5.314,0.594
675.0,0.8754,-0.0548,0.4594,-0.277,2.848,0.8
688.0,0.8889,-0.0496,0.4536,3.822,0.84,0.868
701.0,0.9002,-0.0244,0.4478,6.005,0.382,0.899
714.0,0.8956,-0.0063,0.4473,5.242,0.848,1.204
727.0,0.8918,0.0056,0.4433,2.516,1.566,1.739
740.0,0.8795,-0.0011,0.446,-1.132,1.894,2.326
753.0,0.8698,-0.0172,0.4386,-2.697,1.199,2.815
766.0,0.8647,-0.0317,0.4254,-1.644,0.314,2.891
779.0,0.8715,-0.0348,0.4106,0.272,-0.19,2.456
