trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,testssssssss,789.0,210,955,1020,977,966,-0.0181,0.0178,0.9973,-0.026,0.65,0.097
1,testssssssss,802.0,737,547,1263,1174,302,-0.0174,0.0139,1.0108,-0.293,0.68,0.151
1,testssssssss,815.0,722,1173,868,280,697,-0.0252,0.0207,0.9961,-0.644,0.772,0.151
1,testssssssss,828.0,1068,1163,919,402,400,-0.0115,0.0083,0.9927,-0.919,0.245,0.105
1,testssssssss,841.0,543,1277,1013,1082,1292,-0.0259,0.0137,0.9927,-0.751,0.65,0.143
1,testssssssss,854.0,516,285,1284,545,364,-0.0152,0.0124,0.9951,-0.308,0.581,-0.093
1,testssssssss,867.0,1045,1093,1196,538,592,-0.0184,0.0142,1.0054,-0.132,0.474,0.044
1,testssssssss,880.0,682,788,1182,439,383,-0.024,0.0164,1.001,-0.094,0.718,0.021
1,testssssssss,893.0,203,957,848,1149,956,-0.0227,0.0134,1.0015,-0.896,0.642,-0.009
1,testssssssss,906.0,853,959,418,1284,705,-0.023,0.0183,0.9966,-0.552,0.55,0.021
1,testssssssss,919.0,416,1068,943,388,558,-0.0196,0.0063,1.0035,-0.888,0.382,0.021
1,testssssssss,932.0,646,498,1081,440,226,-0.0227,0.0168,0.9959,-0.117,0.741,-0.002
1,testssssssss,945.0,1071,439,830,446,334,-0.0179,0.0088,1.0047,-0.659,0.627,-0.063
1,testssssssss,958.0,790,338,585,976,893,-0.0245,0.0134,0.9961,-0.4,0.573,0.059
1,testssssssss,971.0,886,1116,770,1028,1022,-0.0245,0.0178,1.0059,-0.392,0.589,0.021
1,testssssssss,984.0,455,474,1203,532,727,-0.0213,0.0146,0.9998,-0.361,0.642,-0.04
1,testssssssss,997.0,248,741,1300,263,1139,-0.0232,0.0161,1.0037,-0.682,0.726,-0.025
1,testssssssss,1010.0,1037,1259,778,962,585,-0.023,0.0124,1.0035,-0.575,0.505,0.097
1,testssssssss,1023.0,1138,1074,345,381,811,-0.0264,0.0134,1.003,-0.743,0.665,0.113
1,testssssssss,1036.0,863,1101,867,950,476,-0.0208,0.0122,1.0003,-0.209,0.619,0.143
1,testssssssss,1049.0,863,270,604,446,685,-0.0242,0.0124,1.0025,-0.476,0.642,-0.071
1,testssssssss,1062.0,951,435,568,313,1183,-0.0174,0.0127,1.0013,-0.239,0.55,-0.002
1,testssssssss,1075.0,735,1057,277,374,749,-0.0179,0.0127,0.9988,-0.766,0.512,0.113
1,testssssssss,1088.0,394,751,623,944,483,-0.021,0.0164,0.9951,-0.652,0.634,0.006
1,testssssssss,1101.0,1227,1104,1125,606,1258,-0.0166,0.0107,0.9988,-0.407,0.474,0.143
1,testssssssss,1114.0,269,408,543,921,1103,-0.0196,0.0073,1.0032,-0.583,0.711,0.113
1,testssssssss,1127.0,688,612,775,588,893,-0.023,0.0195,0.9964,-0.285,0.566,0.013
1,testssssssss,1140.0,337,462,1248,967,493,-0.0252,0.0127,1.0003,-0.72,0.688,0.143
1,testssssssss,1153.0,1130,514,523,1169,794,-0.0237,0.0159,0.9981,-0.476,0.497,0.097
1,testssssssss,1166.0,1143,1078,437,1155,1040,-0.021,0.0149,1.0032,-0.552,0.627,0.059
1,testssssssss,1179.0,1288,761,1141,458,654,-0.0186,0.0129,0.9973,-0.537,0.589,0.059
1,testssssssss,1192.0,371,769,459,1297,1241,-0.0201,0.0142,0.9986,-0.537,0.489,0.036
1,testssssssss,1205.0,826,474,586,874,310,-0.0215,0.0117,1.0035,-0.606,0.497,0.143
1,testssssssss,1218.0,397,380,616,345,711,-0.0223,0.0164,0.9995,-0.331,0.741,0.105
1,testssssssss,1231.0,912,787,1094,221,331,-0.021,0.0107,1.0086,-0.674,0.703,0.097
1,testssssssss,1244.0,1199,296,659,672,406,-0.0181,0.0137,0.9969,-0.781,0.566,0.12
1,testssssssss,1257.0,649,422,288,351,1190,-0.0184,0.0056,1.0039,-1.056,0.444,0.105
1,testssssssss,1270.0,931,1266,611,465,402,-0.0186,0.0181,0.9966,0.051,0.581,0.082
1,testssssssss,1283.0,740,606,1088,911,844,-0.0213,0.0188,0.9951,-0.216,0.703,0.174
1,testssssssss,1296.0,320,804,643,689,287,-0.0191,0.0207,0.993,-0.27,0.596,0.082
1,testssssssss,1309.0,775,1073,639,1031,989,-0.0215,0.0122,0.9981,-0.98,0.375,0.029
1,testssssssss,1322.0,901,1177,1105,994,976,-0.0205,0.0168,1.0,-0.323,0.55,-0.017
1,testssssssss,1335.0,225,208,1228,377,453,-0.0223,0.0115,0.9991,-0.59,0.757,0.105
1,testssssssss,1348.0,304,694,524,629,210,-0.0232,0.0093,0.9956,-0.506,0.673,0.12
1,testssssssss,1361.0,1145,485,1280,460,735,-0.0196,0.0129,0.9964,-0.293,0.489,0.029
1,testssssssss,1374.0,351,1298,955,366,977,-0.0188,0.0203,1.0008,-0.285,0.611,-0.063
1,testssssssss,1387.0,749,933,730,1026,376,-0.0262,0.0146,0.9939,-0.72,0.665,0.021
1,testssssssss,1400.0,989,420,444,753,563,-0.0213,0.0168,0.9959,-0.423,0.382,0.029
1,testssssssss,1413.0,219,1010,1226,517,755,-0.0184,0.0161,1.0056,-0.697,0.619,0.036
1,testssssssss,1426.0,867,1037,760,907,1167,-0.0223,0.0139,0.9966,-0.407,0.642,0.113
1,testssssssss,1439.0,643,484,584,230,365,-0.0227,0.011,0.9986,-0.682,0.566,0.082
1,testssssssss,1452.0,1087,558,940,329,943,-0.0213,0.0098,1.002,-0.537,0.528,0.029
1,testssssssss,1465.0,284,569,563,373,519,-0.0191,0.0139,1.0022,-0.461,0.634,0.067
1,testssssssss,1478.0,724,1106,951,432,988,-0.0213,0.0139,0.9993,-0.27,0.688,0.029
1,testssssssss,1491.0,1281,948,481,1038,1133,-0.0205,0.0198,1.0044,-0.232,0.589,0.128
1,testssssssss,1504.0,1210,1027,1293,639,940,-0.024,0.0193,0.9988,-0.674,0.802,0.128
1,testssssssss,1517.0,577,932,333,416,584,-0.0235,0.0203,1.0,-0.552,0.558,-0.025
1,testssssssss,1530.0,1208,361,806,583,570,-0.0179,0.0149,0.9961,-0.552,0.589,0.052
1,testssssssss,1543.0,788,860,898,1156,1239,-0.0227,0.0073,1.0042,-0.873,0.711,0.059
1,testssssssss,1556.0,867,836,614,290,854,-0.0208,0.0103,1.002,-0.506,0.528,-0.017
1,testssssssss,1569.0,1032,778,416,867,1220,-0.0166,0.0073,1.0,-0.529,0.589,0.09
1,testssssssss,1582.0,764,986,1112,740,346,-0.0188,0.0124,0.9981,-0.476,0.657,0.013
1,testssssssss,1595.0,463,433,1178,1213,1259,-0.0174,0.0161,0.9915,-0.445,0.634,0.105
1,testssssssss,1608.0,1209,793,1268,641,259,-0.0225,0.0222,0.9969,-0.293,0.657,-0.009
1,testssssssss,1621.0,1199,594,665,268,786,-0.0225,0.0176,1.0064,-0.339,0.741,0.067
1,testssssssss,1634.0,789,1274,1156,342,422,-0.0201,0.0139,1.002,-0.781,0.688,0.204
1,testssssssss,1647.0,996,558,845,585,916,-0.0227,0.0098,1.0005,-0.758,0.474,0.021
1,testssssssss,1660.0,1145,1232,811,948,705,-0.0262,0.0076,0.9961,-0.758,0.474,0.036
1,testssssssss,1673.0,1138,284,521,542,1187,-0.0188,0.0144,0.9915,-0.629,0.543,0.082
1,testssssssss,1686.0,1047,228,636,740,342,-0.013,0.012,1.0035,-0.125,0.589,0.113
1,testssssssss,1699.0,601,521,982,345,1138,-0.0181,0.0217,1.0022,0.043,0.764,0.044
1,testssssssss,1712.0,374,841,1081,1225,704,-0.0196,0.0161,1.0008,-0.697,0.611,-0.071
1,testssssssss,1725.0,265,978,911,542,1013,-0.0247,0.0173,0.9912,-0.903,0.573,-0.009
1,testssssssss,1738.0,790,969,238,646,333,-0.0254,0.0093,1.0037,-0.728,0.528,-0.017
1,testssssssss,1751.0,657,808,1243,1150,744,-0.0203,0.009,1.0015,-0.598,0.665,0.021
1,testssssssss,1764.0,424,211,1140,884,691,-0.0232,0.0095,1.0039,-0.636,0.673,0.036
1,testssssssss,1777.0,624,1198,534,558,927,-0.023,0.0107,1.0049,-0.369,0.65,0.097
1,testssssssss,1790.0,1166,418,1235,857,847,-0.0152,0.0164,0.9983,-0.316,0.642,0.166
1,testssssssss,1803.0,1146,1130,769,1244,845,-0.0198,0.0154,0.9983,-0.499,0.657,0.059
1,testssssssss,1816.0,1276,315,848,1094,662,-0.0186,0.0195,0.9998,-0.377,0.627,0.013
1,testssssssss,1829.0,1083,1252,1042,727,1126,-0.0176,0.0168,0.9969,-0.461,0.688,-0.04
1,testssssssss,1842.0,516,965,376,679,1254,-0.0274,0.0149,0.9988,-0.797,0.589,0.044
1,testssssssss,1855.0,833,806,1011,824,1135,-0.0176,0.009,1.0005,-0.98,0.421,0.075
1,testssssssss,1868.0,220,1105,684,999,1275,-0.0225,0.0098,0.9986,-0.316,0.535,0.136
1,testssssssss,1881.0,905,1192,239,964,1160,-0.0162,0.0095,1.0059,-0.262,0.734,0.075
1,testssssssss,1894.0,762,870,264,417,1068,-0.0208,0.0176,1.0022,-0.445,0.818,-0.025
1,testssssssss,1907.0,339,751,295,562,1041,-0.0205,0.0151,0.9998,-0.438,0.558,0.006
1,testssssssss,1920.0,679,353,438,453,1286,-0.0198,0.0159,0.9995,-0.43,0.489,0.113
1,testssssssss,1933.0,1205,1174,1206,963,828,-0.0169,0.0112,1.0022,-0.606,0.55,0.174
1,testssssssss,1946.0,730,513,1116,591,255,-0.0186,0.0156,1.0017,-0.774,0.444,0.021
1,testssssssss,1959.0,1030,541,1121,513,675,-0.0181,0.0129,1.001,-0.575,0.596,-0.017
1,testssssssss,1972.0,460,1093,1284,1135,1247,-0.0271,0.0107,1.0076,-0.346,0.604,0.013
1,testssssssss,1985.0,728,338,1284,406,993,-0.0267,0.0146,1.0022,-0.14,0.688,0.075
1,testssssssss,1998.0,544,1089,1137,253,790,-0.0203,0.0183,1.0015,-0.445,0.642,0.044
1,testssssssss,2011.0,1300,561,1275,1294,226,-0.0201,0.0171,0.9971,-0.59,0.611,0.12
1,testssssssss,2024.0,1100,461,672,716,826,-0.0152,0.0181,0.9976,-0.789,0.566,0.029
1,testssssssss,2037.0,471,858,717,784,375,-0.0154,0.0161,0.9969,-0.43,0.512,0.044
1,testssssssss,2050.0,523,1100,1142,588,364,-0.0179,0.0076,1.0042,-0.575,0.604,0.067
1,testssssssss,2063.0,1020,933,767,742,991,-0.0203,0.0115,1.0052,-0.506,0.634,0.006
1,testssssssss,2076.0,1154,804,1213,232,788,-0.0242,0.0107,0.9983,-0.506,0.764,0.021
