time,ax,ay,az,gx,gy,gz
0.0,0.9737,-0.031,0.2172,-1.056,0.65,-1.338
12.0,0.9821,-0.023,0.2046,0.455,1.222,-1.597
25.0,0.9825,-0.0245,0.2025,0.463,2.451,-1.322
38.0,0.983,-0.0339,0.2091,1.135,3.489,-0.635
51.0,0.9708,-0.0354,0.2105,3.181,4.413,0.082
64.0,0.9589,-0.0244,0.2204,3.86,4.787,0.365
77.0,0.9513,-0.0205,0.234,2.715,3.65,-0.132
90.0,0.9588,-0.0265,0.2349,1.814,2.153,-0.49
103.0,0.9703,-0.0314,0.2277,2.15,1.169,-0.383
116.0,0.9737,-0.0277,0.2134,2.509,1.94,-0.246
129.0,0.9646,-0.0288,0.2085,1.822,3.695,0.403
142.0,0.9516,-0.0371,0.2121,1.608,5.253,0.861
155.0,0.9392,-0.0402,0.2218,1.807,5.688,0.762
168.0,0.9344,-0.037,0.2296,1.387,4.55,0.273
181.0,0.9494,-0.0387,0.2325,1.318,2.894,-0.551
194.0,0.968,-0.0245,0.2307,1.913,1.802,-1.521
207.0,0.9786,-0.0154,0.224,0.547,1.741,-1.948
220.0,0.9842,-0.0189,0.2232,-1.102,2.131,-1.773
233.0,0.9769,-0.0325,0.2112,-1.59,2.856,-1.093
246.0,0.9676,-0.0356,0.2205,-0.545,2.978,-0.712
259.0,0.9704,-0.0366,0.2217,0.127,2.031,-0.445
272.0,0.9826,-0.0288,0.2216,1.562,1.367,0.113
285.0,0.987,-0.0179,0.2145,2.181,1.94,0.449
298.0,0.9771,-0.0212,0.2128,0.348,3.283,0.059
311.0,0.9642,-0.0326,0.2266,-0.285,3.886,-0.032
324.0,0.9548,-0.0378,0.2376,0.203,3.085,-0.009
337.0,0.9572,-0.0315,0.2404,0.745,1.695,0.036
350.0,0.9621,-0.0345,0.2343,0.929,0.627,0.22
363.0,0.9641,-0.0314,0.232,1.402,0.764,0.433
376.0,0.9633,-0.0249,0.2239,1.356,1.924,0.639
389.0,0.9582,-0.0225,0.2229,1.066,3.512,1.281
402.0,0.9545,-0.025,0.2226,0.845,4.428,1.754
415.0,0.951,-0.0215,0.2251,0.784,4.627,2.22
428.0,0.9481,-0.0197,0.2229,0.562,4.291,2.861
441.0,0.9426,-0.0178,0.2079,-1.048,4.306,2.471
454.0,0.9437,-0.0334,0.2032,-2.774,4.581,1.83
467.0,0.9419,-0.0483,0.2111,-1.949,4.108,1.105
480.0,0.955,-0.0479,0.2151,0.57,3.153,0.754
493.0,0.9668,-0.0347,0.2172,2.188,2.215,0.784
506.0,0.9792,-0.0336,0.2127,2.219,2.573,0.929
519.0,0.9674,-0.0358,0.213,2.692,4.176,0.609
532.0,0.9622,-0.0304,0.2277,0.929,5.428,-0.834
545.0,0.9657,-0.0372,0.2486,-0.545,4.444,-1.612
558.0,0.9886,-0.0428,0.2545,-0.178,1.757,-2.017
571.0,1.0046,-0.0398,0.2537,1.494,-0.076,-1.948
584.0,1.012,-0.0339,0.2377,2.158,-0.389,-1.383
597.0,1.0118,-0.0328,0.2288,2.333,1.115,-0.223
610.0,0.9969,-0.0319,0.2273,3.089,3.505,1.059
623.0,0.9742,-0.0315,0.2317,3.257,5.444,2.25
636.0,0.9547,-0.0276,0.2472,2.616,5.924,2.639
649.0,0.9383,-0.0341,0.2528,0.936,4.779,1.8
662.0,0.9421,-0.0367,0.2641,-0.461,1.963,0.723
675.0,0.9631,-0.0383,0.2502,0.203,-0.564,0.571
688.0,0.9798,-0.0289,0.2332,0.86,-0.938,0.693
701.0,0.9776,-0.0208,0.2243,-0.033,0.474,0.983
714.0,0.9709,-0.0265,0.2211,-1.59,1.978,1.471
727.0,0.9686,-0.0297,0.2329,-1.033,2.413,2.38
740.0,0.9768,-0.0222,0.2301,-0.659,2.108,3.288
753.0,0.9998,-0.0245,0.219,-1.255,2.68,4.227
766.0,1.0015,-0.0286,0.198,-0.629,5.573,4.83
779.0,0.9813,-0.0201,0.1975,-0.949,9.528,5.09
792.0,0.9668,-0.0369,0.2107,-2.812,11.909,6.029
805.0,0.9544,-0.0535,0.2178,-1.506,13.008,6.227
818.0,0.9356,-0.0543,0.2355,0.119,12.291,4.998
831.0,0.9404,-0.0485,0.2627,0.119,9.245,3.533
844.0,0.9716,-0.0479,0.2639,0.028,5.016,2.181
857.0,1.0039,-0.0438,0.2503,0.585,2.398,1.479
870.0,1.0261,-0.0443,0.2354,1.142,2.451,1.296
883.0,1.0426,-0.0472,0.234,-0.881,4.337,0.021
896.0,1.0577,-0.0377,0.2477,-0.407,6.611,-0.819
909.0,1.0953,-0.0455,0.2952,-2.484,6.024,0.273
922.0,1.2159,-0.0399,0.3037,-3.377,2.734,1.731
935.0,1.3446,-0.016,0.2327,-5.171,4.321,3.693
948.0,1.3573,0.0115,0.1621,-9.094,14.856,7.052
961.0,1.2725,-0.0161,0.1593,-15.438,26.405,12.594
974.0,1.1551,-0.0883,0.216,-16.132,30.55,17.884
987.0,1.0454,-0.1443,0.2801,-9.43,23.512,18.586
1000.0,0.9936,-0.1375,0.3411,-2.911,7.146,16.273
1013.0,1.028,-0.1139,0.3561,-2.3,-13.595,13.143
1026.0,1.1117,-0.1088,0.324,-1.43,-29.839,10.487
1039.0,1.3013,-0.0903,0.1359,5.188,-28.076,7.624
1052.0,1.2873,-0.0703,0.2342,1.677,-12.747,4.418
1065.0,1.2854,-0.0505,0.3183,-5.957,-13.74,-4.689
1078.0,1.2656,-0.0518,0.2104,-6.728,-13.327,-7.223
1091.0,1.1405,-0.0687,0.1776,-8.72,-3.472,-8.009
1104.0,1.036,-0.0813,0.2751,-14.423,-3.037,-11.376
1117.0,1.0409,-0.0931,0.3312,-22.163,-16.656,-14.223
1130.0,1.1828,-0.1473,0.2071,-19.354,-25.556,-18.88
1143.0,1.0831,-0.1788,0.4311,-1.575,-49.9,-9.154
1156.0,1.1224,-0.1921,0.1763,17.165,-57.862,-27.223
1169.0,1.1463,-0.0155,0.1159,18.547,-46.19,-36.429
1182.0,1.072,0.0322,0.1353,4.058,-32.083,-35.582
1195.0,1.0194,-0.0109,0.2215,-1.781,-32.037,-27.841
1208.0,0.9997,-0.0806,0.1751,10.112,-38.984,-19.864
1221.0,0.9149,-0.0833,0.0926,30.219,-43.16,-16.712
1234.0,0.9271,0.0002,0.1747,31.883,-43.427,-9.475
1247.0,0.9367,-0.0403,0.1223,36.188,-40.442,2.945
1260.0,0.8891,0.0035,0.1433,36.829,-32.854,4.22
1273.0,0.9005,0.0519,0.1942,27.684,-29.251,4.334
1286.0,0.8958,0.033,0.1958,19.532,-30.732,3.609
1299.0,0.8886,0.0228,0.1537,15.654,-32.037,1.51
1312.0,0.868,0.0265,0.0786,12.425,-30.305,2.288
1325.0,0.8201,-0.0238,0.027,7.753,-25.564,2.868
1338.0,0.7506,-0.1124,0.0357,9.959,-22.915,-0.193
1351.0,0.7371,-0.1426,0.1237,21.036,-26.48,-2.17
1364.0,0.7753,-0.0918,0.1647,36.7,-33.64,-0.956
1377.0,0.8497,-0.0013,0.1377,42.089,-37.709,-0.071
1390.0,0.9067,0.0647,0.0984,35.661,-34.785,2.235
1403.0,0.8947,0.0563,0.1001,27.753,-28.495,5.059
1416.0,0.7965,0.0129,0.131,21.28,-23.327,4.013
1429.0,0.7286,-0.0049,0.1551,11.868,-24.946,-0.651
1442.0,0.7058,-0.0419,0.1324,5.501,-31.747,-2.162
1455.0,0.7653,-0.0676,0.0734,6.043,-35.702,-0.071
1468.0,0.8331,-0.0375,0.0011,14.051,-33.694,4.181
1481.0,0.8768,0.033,-0.0344,17.944,-25.77,11.525
1494.0,0.8438,0.051,-0.0398,14.272,-15.037,18.479
1507.0,0.7214,0.021,-0.0311,9.86,-4.358,20.235
1520.0,0.6065,-0.0563,0.0135,2.234,-0.518,13.83
1533.0,0.638,-0.1101,0.0447,-0.728,-4.495,7.525
1546.0,0.7276,-0.1077,-0.003,7.89,-7.915,2.555
1559.0,0.8099,-0.0377,-0.0299,14.287,-6.335,-0.429
1572.0,0.8372,0.0032,-0.0407,15.303,-1.518,0.601
1585.0,0.8029,0.0115,-0.0304,12.791,5.161,2.578
1598.0,0.7465,-0.0057,0.019,7.898,9.963,1.838
1611.0,0.7098,-0.0355,0.0395,0.646,10.337,-3.147
1624.0,0.7598,-0.0586,0.036,-3.453,7.688,-7.933
1637.0,0.8342,-0.0791,0.01,0.318,8.092,-9.88
1650.0,0.8626,-0.0568,0.0203,5.799,12.466,-13.277
1663.0,0.887,0.0039,0.0421,7.318,15.68,-14.292
1676.0,0.9121,0.0258,0.0533,2.593,17.734,-11.887
1689.0,0.9245,0.0218,0.023,-0.682,20.978,-9.124
1702.0,0.882,-0.0098,0.0241,-3.682,25.253,-7.826
1715.0,0.8208,-0.0564,0.0729,-7.545,24.757,-10.666
1728.0,0.8359,-0.061,0.1193,-7.209,17.413,-13.826
1741.0,0.8768,-0.0497,0.1311,-2.56,9.291,-15.987
1754.0,0.916,-0.0292,0.1176,0.898,4.924,-18.834
1767.0,0.9242,-0.0273,0.0938,1.776,6.054,-19.819
1780.0,0.9066,-0.0577,0.1049,2.28,10.497,-19.33
1793.0,0.8812,-0.0554,0.1317,7.921,14.657,-18.055
1806.0,0.9171,-0.0289,0.1286,10.555,17.016,-16.383
1819.0,0.9019,0.0359,0.0937,14.57,31.856,-10.002
1832.0,0.9194,-0.0011,0.146,8.669,34.932,-3.773
1845.0,1.0051,-0.0045,0.0728,10.959,36.97,-6.506
1858.0,0.965,0.01,0.0522,11.524,45.825,-7.506
1871.0,0.8928,-0.0057,0.1239,17.181,52.741,-4.742
1884.0,0.8122,0.0276,0.1538,21.249,51.413,-3.956
1897.0,0.7629,0.0726,0.1962,12.807,44.062,-7.551
1910.0,0.7819,0.0917,0.2113,-1.316,30.39,-11.445
1923.0,0.8115,0.0779,0.2155,-9.575,16.306,-10.269
1936.0,0.8593,0.0469,0.2293,-9.155,4.024,-5.368
1949.0,0.9146,0.0308,0.2095,-1.484,-5.213,-0.322
1962.0,0.9752,0.0176,0.1664,1.119,-9.137,2.029
1975.0,1.0073,-0.0043,0.0729,5.028,-5.679,0.983
1988.0,1.0036,0.0262,0.0037,7.104,4.352,-3.811
2001.0,1.0416,0.0942,-0.0025,4.463,15.207,-3.796
2014.0,1.0483,0.1118,0.0067,-0.461,24.138,-1.086
2027.0,0.9976,0.1206,0.0351,-4.445,30.642,0.456
2040.0,0.9522,0.1191,0.1066,-12.804,31.237,2.075
2053.0,0.9328,0.0795,0.1725,-19.186,23.421,4.769
2066.0,0.9483,0.0575,0.1769,-13.942,12.657,9.762
