time,ax,ay,az,gx,gy,gz
0.0,0.9664,-0.0626,0.1958,-0.323,2.016,2.487
13.0,0.9671,-0.0654,0.2023,0.784,1.902,1.586
26.0,0.9663,-0.0508,0.1908,2.791,1.337,0.853
39.0,0.9616,-0.0316,0.1687,3.074,1.947,0.662
52.0,0.9636,-0.0223,0.1698,1.646,2.932,1.181
65.0,0.9675,-0.0304,0.1757,-1.216,4.047,1.67
78.0,0.9719,-0.0411,0.2013,-2.858,4.581,1.487
91.0,0.9732,-0.0433,0.2154,-1.667,4.665,0.853
104.0,0.9711,-0.0284,0.2212,0.723,4.871,0.449
117.0,0.9685,-0.0238,0.2314,1.44,4.36,0.197
130.0,0.9619,-0.0162,0.2238,1.73,3.367,0.38
143.0,0.9613,-0.0143,0.216,1.005,3.52,1.12
156.0,0.9643,-0.0415,0.2277,0.478,3.405,1.617
169.0,0.9669,-0.0584,0.2356,1.066,2.428,1.036
182.0,0.9697,-0.0579,0.2318,1.852,2.092,0.029
195.0,0.9725,-0.0455,0.2425,3.661,1.566,-1.277
208.0,0.9703,-0.0181,0.217,4.677,0.505,-1.62
221.0,0.9686,0.0005,0.1902,3.692,0.932,-1.3
234.0,0.9697,0.0067,0.1977,2.86,1.772,-0.353
247.0,0.9729,-0.0016,0.2062,1.936,1.673,0.586
260.0,0.9722,-0.0194,0.209,1.402,1.848,0.471
273.0,0.9642,-0.0171,0.2119,2.547,2.001,-0.086
286.0,0.9632,-0.0015,0.2018,3.577,1.802,0.12
299.0,0.9605,0.0068,0.1877,2.471,2.451,1.006
312.0,0.9627,-0.0063,0.1984,0.799,4.085,2.38
325.0,0.9655,-0.0311,0.224,-0.048,4.726,3.021
338.0,0.9652,-0.0566,0.2622,0.6,4.856,2.479
351.0,0.9654,-0.0634,0.2765,3.585,3.008,1.372
364.0,0.9642,-0.0505,0.2517,4.326,1.108,0.304
377.0,0.9683,-0.0325,0.23,5.097,0.039,-0.33
390.0,0.967,-0.0186,0.2077,5.005,0.024,-0.048
403.0,0.976,-0.0244,0.192,4.944,0.894,0.792
416.0,0.9719,-0.033,0.1971,2.799,2.482,1.502
429.0,0.9643,-0.0563,0.2344,0.982,3.161,1.174
442.0,0.9598,-0.0767,0.2566,1.898,1.512,-0.139
455.0,0.9657,-0.0635,0.2339,5.73,-0.702,-2.284
