time,ax,ay,az,gx,gy,gz
1260.0,0.9765,-0.0344,0.1835,1.364,2.131,-0.17
1273.0,0.9807,-0.0367,0.1961,-0.018,2.215,-1.719
1286.0,0.9725,-0.0147,0.1979,-1.079,2.215,-3.04
1299.0,0.9751,0.0013,0.208,-0.766,1.84,-3.666
1312.0,0.9753,0.0199,0.1924,0.639,1.375,-4.002
1325.0,0.9688,0.0437,0.1798,-0.148,2.466,-3.414
1338.0,0.9583,0.0481,0.2108,-1.621,3.711,-2.322
1351.0,0.9605,0.0442,0.2202,-2.087,2.833,-0.903
1364.0,0.9661,0.016,0.221,-2.232,2.291,0.151
1377.0,0.9705,-0.0018,0.2224,-0.774,2.329,-0.055
1390.0,0.9692,-0.0085,0.2268,1.539,2.176,-0.643
1403.0,0.9685,-0.0044,0.2182,2.959,2.001,-1.506
1416.0,0.9624,0.0177,0.2135,1.577,2.81,-1.948
1429.0,0.9625,0.0206,0.2488,0.952,2.123,-1.689
1442.0,0.9613,0.0278,0.2453,1.875,-0.076,-1.33
1455.0,0.9646,0.0276,0.2188,3.57,-1.045,-0.46
1468.0,0.9611,0.0286,0.1989,5.081,-0.976,0.494
1481.0,0.9655,0.0151,0.1796,3.318,-0.915,1.792
1494.0,0.9683,-0.0094,0.1761,0.761,0.589,2.273
1507.0,0.9707,-0.0299,0.1834,-1.43,1.947,2.296
1520.0,0.9725,-0.0377,0.2014,-0.682,2.482,1.479
1533.0,0.968,-0.0337,0.205,-0.537,3.276,0.746
1546.0,0.9624,-0.0276,0.2167,0.005,3.68,-0.399
1559.0,0.9609,0.0018,0.2213,0.31,2.963,-1.063
1572.0,0.9561,0.0288,0.2157,-0.438,2.497,-0.788
1585.0,0.9611,0.0297,0.2243,-0.438,1.795,0.273
1598.0,0.9642,0.0386,0.2036,0.036,0.848,1.594
1611.0,0.9628,0.0267,0.1961,-0.926,1.634,3.036
1624.0,0.9707,0.0043,0.208,-0.484,1.909,3.968
1637.0,0.9716,-0.0177,0.2068,-0.354,2.092,4.021
1650.0,0.9721,-0.0299,0.2159,1.188,2.413,3.097
1663.0,0.9693,-0.0239,0.2185,1.616,2.008,2.197
1676.0,0.9652,-0.0143,0.2095,1.287,1.772,1.716
1689.0,0.9664,-0.002,0.2012,1.478,1.657,1.716
1702.0,0.9665,-0.0088,0.1931,1.043,1.734,1.937
1715.0,0.9675,-0.011,0.2005,0.356,2.413,2.372
1728.0,0.9718,-0.028,0.2277,1.41,2.008,2.502
1741.0,0.976,-0.049,0.2207,2.181,0.077,2.258
1754.0,0.978,-0.0608,0.2068,2.371,-0.266,1.12
1767.0,0.9784,-0.0627,0.1999,3.753,-0.167,-0.452
1780.0,0.9804,-0.0426,0.1801,4.112,-0.129,-1.544
1793.0,0.9764,-0.031,0.1764,2.784,1.062,-2.292
1806.0,0.9718,-0.0117,0.1859,0.852,1.726,-2.857
1819.0,0.9687,0.0056,0.1945,-0.72,1.947,-2.788
1832.0,0.9663,0.012,0.1934,-1.407,2.581,-2.3
1845.0,0.9647,0.0128,0.2047,-1.629,2.779,-1.78
1858.0,0.965,0.0149,0.199,-1.613,2.711,-1.101
1871.0,0.9681,0.0085,0.1973,-1.674,3.123,-0.704
1884.0,0.968,-0.0012,0.2051,-0.987,3.298,-0.429
1897.0,0.9665,-0.0089,0.2094,-0.186,3.016,-0.429
1910.0,0.9697,-0.0061,0.2051,-0.926,3.207,-0.681
1923.0,0.9688,-0.0009,0.2149,-1.964,3.382,-0.765
1936.0,0.9699,-0.004,0.2223,-2.751,3.016,-0.582
1949.0,0.9703,-0.0085,0.2234,-2.285,2.543,-0.689
1962.0,0.9665,-0.0103,0.2267,-1.277,2.413,-0.712
1975.0,0.9679,-0.0129,0.2261,-0.361,1.558,-0.796
1988.0,0.9722,-0.0176,0.2206,-0.522,1.215,-0.933
2001.0,0.9702,-0.0118,0.2149,0.058,0.924,-1.551
2014.0,0.9665,0.0009,0.2079,0.692,0.444,-1.864
2027.0,0.9674,0.017,0.1919,0.44,0.993,-1.834
2040.0,0.9674,0.0225,0.2036,-0.797,1.657,-1.2
2053.0,0.9593,0.0299,0.2112,-0.751,1.581,-0.452
2066.0,0.9611,0.0209,0.2149,-0.545,1.161,0.571
2079.0,0.9649,0.0054,0.2117,-0.461,1.039,1.128
2092.0,0.9655,-0.0001,0.2143,0.318,0.726,1.029
2105.0,0.9703,0.0021,0.2043,0.013,0.84,0.853
2118.0,0.9702,0.0074,0.203,0.822,0.428,0.594
2131.0,0.969,0.0144,0.1912,1.02,0.627,0.899
2144.0,0.967,0.0052,0.1963,1.058,1.23,1.334
2157.0,0.9707,-0.0056,0.2049,1.432,1.123,1.51
2170.0,0.973,-0.015,0.1988,1.898,1.199,1.334
2183.0,0.9705,-0.0149,0.1942,2.348,1.36,0.708
2196.0,0.9705,-0.0054,0.1877,2.295,1.802,0.181
2209.0,0.9722,0.0059,0.1848,2.654,2.436,0.242
2222.0,0.9664,0.0171,0.1805,1.974,3.146,0.617
2235.0,0.9677,0.0094,0.2016,1.807,3.642,0.929
2248.0,0.9633,0.017,0.1993,3.509,3.55,1.639
2261.0,0.9661,0.0017,0.2062,3.516,3.352,2.449
2274.0,0.9743,-0.01,0.1975,2.6,3.207,2.403
2287.0,0.9669,-0.0118,0.2035,1.043,3.39,2.433
2300.0,0.9703,-0.0275,0.2155,0.753,3.329,1.586
2313.0,0.9704,-0.0162,0.2127,2.715,2.932,0.807
2326.0,0.9671,-0.0077,0.2022,3.631,2.879,0.601
2339.0,0.9644,0.0072,0.2043,3.593,2.955,0.929
2352.0,0.9674,0.0072,0.2104,1.539,2.818,2.021
2365.0,0.9714,-0.0109,0.2144,-0.003,2.589,2.403
2378.0,0.9704,-0.0276,0.2312,0.226,2.779,2.471
2391.0,0.9724,-0.0336,0.235,1.982,1.924,1.914
2404.0,0.9709,-0.0361,0.2232,3.058,1.237,1.113
2417.0,0.9738,-0.0249,0.217,2.333,0.833,0.273
2430.0,0.9681,-0.0134,0.2168,0.822,0.474,-0.093
2443.0,0.9647,-0.0045,0.2094,1.417,0.566,0.036
2456.0,0.9709,-0.0133,0.2102,1.242,0.314,0.388
2469.0,0.9665,-0.0136,0.2032,0.784,0.215,0.036
2482.0,0.9643,-0.0051,0.1892,0.974,0.902,-0.032
2495.0,0.9666,0.001,0.1927,0.326,1.505,0.204
2508.0,0.9633,0.0027,0.191,0.486,1.818,0.533
2521.0,0.9639,-0.0006,0.1924,0.639,2.291,0.922
2534.0,0.9661,-0.0073,0.1988,0.089,2.947,0.968
2547.0,0.9669,-0.007,0.2137,1.234,2.757,1.105
2560.0,0.9721,-0.0176,0.2027,0.852,2.581,1.181
2573.0,0.9742,-0.017,0.2072,0.326,2.772,0.807
2586.0,0.9699,-0.0176,0.2255,0.387,2.589,0.792
2599.0,0.9747,-0.0237,0.2226,0.913,1.81,0.487
2612.0,0.9735,-0.0161,0.221,1.402,1.627,0.097
2625.0,0.9727,-0.0129,0.2163,1.982,1.23,-0.025
2638.0,0.9711,-0.0084,0.2036,1.814,0.917,-0.177
2651.0,0.9704,-0.0062,0.1977,1.326,1.245,-0.032
2664.0,0.965,-0.0035,0.1955,1.364,1.535,0.319
2677.0,0.9685,-0.015,0.2096,0.921,1.291,0.693
2690.0,0.9698,-0.0244,0.2033,1.249,0.993,0.525
2703.0,0.9699,-0.0262,0.1966,1.295,1.039,-0.086
2716.0,0.9685,-0.0178,0.1883,0.501,1.619,-0.399
2729.0,0.9688,-0.0089,0.1929,-0.255,2.176,-0.612
2742.0,0.963,-0.0044,0.2052,-0.964,2.795,-0.399
2755.0,0.9655,-0.0114,0.2167,0.005,2.306,-0.162
2768.0,0.966,-0.011,0.2088,-0.056,1.848,0.059
2781.0,0.9702,-0.0116,0.2129,0.097,2.054,0.036
2794.0,0.9643,-0.0139,0.2094,0.753,1.428,-0.101
2807.0,0.9663,-0.0134,0.196,0.234,1.68,-0.116
2820.0,0.9699,-0.0107,0.1997,0.532,2.069,-0.093
2833.0,0.965,-0.0094,0.2018,1.005,2.077,-0.04
2846.0,0.965,-0.0166,0.2016,0.074,2.153,0.25
2859.0,0.973,-0.0245,0.2046,-0.117,1.84,0.021
2872.0,0.9741,-0.0291,0.2072,-0.957,2.298,-0.345
2885.0,0.9733,-0.0254,0.2097,-0.476,2.451,-0.895
2898.0,0.9705,-0.0133,0.2106,-0.537,2.55,-1.101
2911.0,0.9694,-0.015,0.2215,-0.56,2.344,-1.277
2924.0,0.9639,-0.0104,0.2177,0.326,1.482,-1.261
2937.0,0.967,-0.0089,0.2055,0.539,0.993,-1.139
2950.0,0.9682,-0.0093,0.2035,0.738,1.047,-1.246
2963.0,0.9668,0.0002,0.1925,1.669,1.199,-1.277
2976.0,0.9648,0.0073,0.1869,0.784,2.199,-0.819
2989.0,0.9659,0.0046,0.2,-0.949,2.734,-0.513
3002.0,0.9668,0.0048,0.2189,-1.255,2.718,-0.193
3015.0,0.9649,0.0021,0.2233,-0.644,1.657,-0.017
3028.0,0.9671,-0.0018,0.2057,0.425,1.382,0.12
3041.0,0.9696,-0.0017,0.2041,1.051,1.451,0.388
3054.0,0.972,-0.0155,0.2029,0.104,1.68,0.41
3067.0,0.9718,-0.0199,0.2102,0.02,1.535,0.204
3080.0,0.9707,-0.0177,0.2102,0.936,1.627,-0.483
3093.0,0.9685,-0.0143,0.2104,2.326,1.283,-0.62
3106.0,0.9694,-0.0033,0.1923,2.44,1.215,-0.796
3119.0,0.9641,0.005,0.1968,0.616,1.879,-0.292
3132.0,0.966,-0.0039,0.2007,-0.888,2.207,0.159
3145.0,0.9649,0.0006,0.2016,-0.445,2.321,0.242
3158.0,0.9668,-0.0065,0.2099,0.799,2.36,0.517
3171.0,0.9685,-0.0073,0.2041,1.333,2.337,0.578
3184.0,0.9668,-0.0107,0.219,1.539,2.375,0.716
3197.0,0.9703,-0.0128,0.2166,1.058,1.886,0.494
3210.0,0.9701,-0.0192,0.22,1.089,1.673,0.296
3223.0,0.9699,-0.0143,0.2194,2.127,1.222,-0.093
3236.0,0.9679,-0.0078,0.2056,2.432,0.642,-0.185
3249.0,0.9675,-0.0053,0.1938,2.539,0.711,-0.017
3262.0,0.9692,-0.0072,0.1923,1.364,1.65,0.288
3275.0,0.9666,-0.0022,0.1886,0.448,2.482,0.655
3288.0,0.9643,-0.0129,0.2082,-0.812,3.176,0.891
3301.0,0.968,-0.0162,0.2161,-0.545,2.627,0.777
3314.0,0.9648,-0.0183,0.2196,-0.11,1.932,0.464
3327.0,0.9688,-0.0155,0.2123,1.287,1.459,0.212
3340.0,0.9691,-0.0083,0.1944,1.738,1.428,0.212
