time,ax,ay,az,gx,gy,gz
0.0,0.9594,-0.0524,0.2138,-0.476,1.627,-1.009
13.0,0.9611,-0.0498,0.2097,0.501,1.474,-0.498
26.0,0.9661,-0.0471,0.2141,1.074,1.634,-0.254
39.0,0.9705,-0.0507,0.2129,1.455,1.863,0.013
52.0,0.9694,-0.0493,0.216,1.593,2.573,0.113
65.0,0.9637,-0.0454,0.2159,2.364,3.459,0.227
78.0,0.9624,-0.0425,0.2212,2.432,4.115,0.25
91.0,0.9592,-0.0398,0.2277,2.272,4.283,0.258
104.0,0.952,-0.0387,0.2356,1.272,3.871,0.021
117.0,0.9506,-0.0416,0.2448,0.539,2.321,0.563
130.0,0.9582,-0.0547,0.2325,0.745,1.337,0.418
143.0,0.9697,-0.0519,0.2274,1.127,1.627,-0.376
156.0,0.9643,-0.0508,0.2306,1.173,2.291,-0.666
169.0,0.963,-0.047,0.237,0.913,2.421,-0.605
182.0,0.9713,-0.0452,0.2345,1.058,1.932,-0.032
195.0,0.974,-0.0503,0.2235,1.738,2.596,0.464
208.0,0.9674,-0.0476,0.2183,1.936,3.963,0.792
221.0,0.9679,-0.0397,0.2228,1.547,5.176,0.754
234.0,0.9663,-0.0328,0.2196,0.577,5.993,0.571
247.0,0.9702,-0.0361,0.2193,-0.987,6.573,0.235
260.0,0.9747,-0.0426,0.2117,-0.995,6.886,0.471
273.0,0.9726,-0.0532,0.2058,-0.224,7.55,0.914
286.0,0.9643,-0.0501,0.2229,1.119,7.451,1.052
299.0,0.9676,-0.0426,0.2367,2.913,5.581,1.83
312.0,0.9904,-0.0286,0.2361,3.242,3.642,1.769
325.0,1.0208,-0.0193,0.2293,0.494,2.642,0.311
338.0,1.0665,-0.0188,0.2272,-3.01,2.879,-2.544
351.0,1.1245,-0.0243,0.2157,-7.209,3.634,-7.193
364.0,1.1721,-0.0203,0.2221,-5.972,5.344,-6.345
377.0,1.1932,-0.0156,0.214,-2.255,7.589,-2.414
390.0,1.1962,-0.0023,0.2232,-1.155,10.886,2.044
403.0,1.1759,-0.0214,0.269,-4.491,12.344,3.006
416.0,1.203,-0.0447,0.3206,-7.705,8.123,0.8
429.0,1.2619,-0.0496,0.3461,-3.659,0.589,1.464
442.0,1.3164,-0.0136,0.3217,1.593,-4.663,4.548
455.0,1.3946,0.0098,0.2742,-0.896,-4.35,8.762
468.0,1.4521,-0.0188,0.219,-3.529,2.573,10.082
481.0,1.4198,-0.0599,0.1706,-10.835,15.474,0.907
494.0,1.3233,-0.0889,0.1973,-17.354,27.062,-11.765
507.0,1.2034,-0.1226,0.2657,-15.949,29.55,-19.467
520.0,1.1146,-0.1499,0.3357,-10.903,19.818,-22.689
533.0,1.0625,-0.1276,0.361,2.333,1.833,-19.979
546.0,1.0727,-0.0979,0.3626,11.707,-18.472,-14.727
559.0,1.0915,-0.0909,0.3285,17.127,-34.358,-12.674
572.0,1.13,-0.0734,0.2677,20.623,-42.106,-15.765
585.0,1.1524,-0.0239,0.188,22.898,-40.869,-17.666
598.0,1.0774,0.0109,0.1291,19.104,-31.495,-16.391
611.0,0.9764,0.0021,0.1404,14.608,-21.953,-9.261
624.0,0.8846,-0.0418,0.1686,14.776,-17.732,-0.345
637.0,0.8624,-0.0739,0.1753,16.661,-17.442,2.304
650.0,0.8487,-0.0736,0.1824,20.142,-18.679,-2.406
663.0,0.7857,-0.0519,0.2213,18.761,-22.999,-12.895
676.0,0.7572,-0.0241,0.2797,10.448,-32.48,-24.3
689.0,0.8364,0.0115,0.3324,6.952,-47.9,-27.315
702.0,0.9107,-0.0194,0.2919,7.669,-63.274,-21.635
715.0,0.9522,-0.0322,0.2367,20.639,-69.312,-14.055
728.0,1.0267,-0.0078,0.1899,28.303,-68.778,-7.04
741.0,0.9864,0.0117,0.1018,31.348,-58.442,-2.391
754.0,0.885,0.0452,0.0851,24.646,-43.724,2.25
767.0,0.7989,0.0067,0.1138,17.379,-33.969,8.426
780.0,0.7697,-0.0537,0.1154,11.631,-28.801,5.693
793.0,0.7628,-0.0764,0.1166,11.883,-24.679,0.105
806.0,0.8,-0.048,0.1357,16.41,-21.885,0.059
819.0,0.8303,-0.0599,0.1225,21.081,-18.633,2.357
832.0,0.8308,-0.0297,0.1077,25.936,-12.236,1.013
845.0,0.795,0.0406,0.0938,23.562,-4.205,-0.055
858.0,0.7218,0.0687,0.105,11.074,-0.312,1.288
871.0,0.6488,0.0135,0.1488,2.845,-2.472,6.334
884.0,0.6323,-0.0488,0.1636,1.425,-10.961,8.029
897.0,0.679,-0.0527,0.1383,5.745,-18.236,9.754
910.0,0.7319,-0.0305,0.1084,14.203,-19.541,13.868
923.0,0.7679,0.0504,0.0546,16.677,-14.083,17.96
936.0,0.7524,0.1075,0.0326,6.654,-3.61,21.639
949.0,0.6275,0.0248,0.0629,-11.713,3.596,16.792
962.0,0.6016,-0.0845,0.1523,-21.125,-0.343,7.96
975.0,0.6927,-0.1056,0.1299,-13.125,-8.61,2.678
988.0,0.7663,-0.0448,0.0389,-3.888,-9.732,-3.689
1001.0,0.7909,0.0159,0.0052,-4.781,-4.442,-8.75
1014.0,0.7971,0.0139,0.0053,-8.026,1.497,-9.17
1027.0,0.8248,-0.0165,-0.0107,-7.888,7.283,-8.391
1040.0,0.8429,-0.0056,-0.0186,-3.934,12.856,-7.643
1053.0,0.8632,0.0527,-0.0125,-2.484,17.634,-4.429
1066.0,0.8824,0.0458,-0.0258,-6.98,21.94,0.51
1079.0,0.8579,-0.0087,-0.0382,-4.98,28.558,4.563
1092.0,0.7923,-0.0585,-0.0164,1.402,36.405,6.846
1105.0,0.7203,-0.1386,0.0432,7.669,39.757,5.265
1118.0,0.7041,-0.1923,0.0993,18.974,35.535,-3.696
1131.0,0.7614,-0.1465,0.1449,32.501,27.337,-10.788
1144.0,0.8369,-0.0846,0.183,46.219,17.108,-12.834
1157.0,0.8743,-0.0028,0.2188,59.15,6.947,-10.696
1170.0,0.8797,0.1074,0.2477,64.73,-2.114,-4.3
1183.0,0.8675,0.1769,0.2531,53.593,-8.74,3.563
1196.0,0.8603,0.168,0.2317,31.868,-12.274,9.746
1209.0,0.8601,0.0956,0.2276,12.28,-13.785,12.601
1222.0,0.9277,0.0223,0.1971,1.41,-13.404,10.372
1235.0,1.0001,-0.0099,0.0292,1.997,4.413,2.983
1248.0,0.9321,0.0026,0.1498,-2.308,17.703,-7.651
1261.0,0.9758,0.0538,0.1272,-8.171,25.596,-12.216
1274.0,0.9679,0.0791,0.1359,-9.056,29.902,-0.918
1287.0,0.9193,0.0358,0.1247,-9.117,31.062,6.418
1300.0,0.9018,0.0452,0.1555,-11.201,26.413,7.655
1313.0,0.9044,0.0273,0.1753,-15.583,15.36,9.861
1326.0,0.9345,-0.0042,0.1774,-13.888,2.764,13.632
1339.0,0.9845,-0.0382,0.1591,-7.842,-6.335,17.166
1352.0,1.0091,-0.0568,0.1181,0.661,-10.114,17.716
1365.0,1.0102,-0.031,0.0658,8.02,-6.785,16.7
1378.0,0.9857,0.0107,0.0514,9.723,0.764,15.487
1391.0,0.956,0.0353,0.0645,4.837,6.65,13.784
1404.0,0.9621,0.0017,0.0829,-4.758,9.634,8.731
1417.0,0.9886,-0.0134,0.0838,-7.766,11.52,-0.338
1430.0,0.9906,0.0228,0.0818,-13.293,12.802,-10.788
1443.0,0.9962,0.0753,0.092,-23.827,12.146,-17.261
1456.0,1.0153,0.0787,0.0916,-34.071,9.344,-14.75
1469.0,1.0106,0.0159,0.0402,-35.644,7.505,-7.735
1482.0,0.9972,-0.0181,0.0165,-30.949,9.382,-2.475
1495.0,0.9831,-0.0148,0.0257,-27.583,12.459,0.823
1508.0,0.9843,-0.0028,0.094,-28.346,10.276,2.998
1521.0,0.9907,0.0198,0.1398,-28.293,2.459,7.525
1534.0,1.0081,0.0155,0.1399,-26.995,-7.083,17.517
1547.0,1.0306,-0.0431,0.1158,-22.873,-14.518,26.601
1560.0,1.0566,-0.0912,0.07,-16.545,-16.274,28.288
1573.0,1.0759,-0.1132,0.0212,-12.529,-11.442,22.479
1586.0,1.0636,-0.1022,0.0169,-11.667,-2.572,11.96
1599.0,1.0465,-0.0674,0.0537,-15.369,3.596,0.693
1612.0,1.0597,-0.0063,0.1452,-22.346,1.276,-4.773
1625.0,1.1066,0.02,0.1178,-25.354,-4.396,0.059
1638.0,1.1494,-0.0054,0.156,-30.102,-10.48,9.456
1651.0,1.2161,-0.0759,0.0783,-27.758,-13.167,15.479
1664.0,1.2475,-0.087,0.0198,-21.652,-5.495,15.143
1677.0,1.2285,-0.0634,0.0183,-19.041,6.245,12.189
1690.0,1.2254,-0.0573,0.0367,-23.735,13.94,8.998
1703.0,1.2257,-0.0923,0.0572,-22.674,19.108,8.258
1716.0,1.1844,-0.1118,0.0868,-13.743,21.131,7.861
1729.0,1.1643,-0.0751,0.1073,-7.033,18.886,8.838
1742.0,1.1699,-0.061,0.0909,-5.277,14.986,11.655
1755.0,1.1778,-0.0858,0.0636,-5.407,14.619,11.25
1768.0,1.1733,-0.1202,0.0612,-4.117,16.497,8.662
1781.0,1.1428,-0.1429,0.0663,2.417,19.596,5.899
1794.0,1.0772,-0.113,0.1017,9.226,21.268,2.968
1807.0,1.0372,-0.0679,0.1485,7.44,17.718,2.143
1820.0,1.0449,-0.084,0.1687,3.509,10.092,3.281
1833.0,1.054,-0.1199,0.1595,6.44,5.215,3.792
1846.0,1.0312,-0.1118,0.1703,11.539,3.039,2.609
1859.0,1.0326,-0.0872,0.1658,11.555,1.703,1.487
1872.0,1.0157,-0.0896,0.1691,9.196,2.283,-0.284
1885.0,0.9991,-0.0844,0.1835,6.89,2.947,-3.139
1898.0,0.9952,-0.0885,0.1844,4.425,2.772,-4.758
1911.0,0.9879,-0.0963,0.1809,3.913,3.283,-5.903
