Time(ms),ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3184,0.0380,0.0264,0.9749,0.547,1.673,-0.040
3197,0.0393,0.0337,0.9837,0.639,1.856,-0.071
3210,0.0363,0.0293,0.9849,0.913,1.871,-0.147
3223,0.0324,0.0317,0.9795,0.593,1.840,-0.063
3236,0.0356,0.0278,0.9842,0.654,1.596,0.006
3249,0.0361,0.0334,0.9839,0.684,1.497,-0.078
3262,0.0356,0.0337,0.9908,0.577,1.718,0.105
3275,0.0376,0.0256,0.9810,0.669,1.825,-0.048
3288,0.0378,0.0264,0.9837,0.723,1.611,0.013
3301,0.0339,0.0315,0.9793,0.410,1.642,-0.055
3314,0.0400,0.0320,0.9854,0.562,1.779,-0.162
3327,0.0405,0.0320,0.9861,0.623,1.695,-0.086
3340,0.0393,0.0303,0.9822,0.646,1.940,-0.009
3353,0.0395,0.0300,0.9844,0.738,1.871,0.029
3366,0.0373,0.0300,0.9751,0.532,1.611,0.082
3379,0.0339,0.0334,0.9781,0.829,1.833,0.013
3392,0.0363,0.0337,0.9805,0.745,1.840,-0.101
3405,0.0253,0.0352,0.9854,0.577,1.772,0.189
3418,0.0351,0.0339,0.9837,0.600,1.818,0.006
3431,0.0366,0.0225,0.9798,0.761,1.787,0.006
3444,0.0424,0.0308,0.9783,0.700,1.543,0.044
3457,0.0415,0.0305,0.9834,0.715,1.871,0.067
3470,0.0393,0.0325,0.9847,0.432,1.650,-0.063
3483,0.0378,0.0308,0.9749,0.684,1.741,-0.048
3496,0.0424,0.0327,0.9832,0.631,1.986,0.113
3509,0.0327,0.0308,0.9805,0.585,1.642,0.013
3522,0.0361,0.0269,0.9805,0.646,1.818,-0.078
3535,0.0324,0.0310,0.9817,0.532,1.726,0.013
3548,0.0385,0.0305,0.9832,0.532,1.833,-0.101
3561,0.0400,0.0288,0.9781,0.616,1.604,-0.002
3574,0.0402,0.0317,0.9785,0.562,1.932,-0.002
3587,0.0341,0.0222,0.9795,0.837,1.680,0.059
3600,0.0351,0.0291,0.9925,0.677,1.848,-0.101
3613,0.0412,0.0173,0.9827,0.845,1.772,-0.071
3626,0.0356,0.0273,0.9817,0.700,1.863,-0.101
3639,0.0307,0.0305,0.9864,0.723,1.779,0.082
3652,0.0376,0.0256,0.9798,0.822,1.993,-0.055
3665,0.0327,0.0278,0.9842,0.631,1.886,0.044
3678,0.0307,0.0317,0.9827,0.692,1.963,-0.032
3691,0.0398,0.0330,0.9790,0.906,1.695,-0.002
3704,0.0385,0.0322,0.9766,0.822,1.879,-0.032
3717,0.0417,0.0288,0.9827,0.784,1.856,-0.040
3730,0.0388,0.0315,0.9854,0.639,1.848,-0.147
3743,0.0402,0.0244,0.9771,0.921,2.016,-0.078
3756,0.0366,0.0229,0.9773,0.677,1.741,0.013
3769,0.0398,0.0286,0.9839,0.715,1.802,0.189
3782,0.0366,0.0232,0.9868,0.501,1.772,-0.032
3795,0.0363,0.0327,0.9854,0.524,1.810,-0.078
3808,0.0434,0.0315,0.9922,0.791,1.680,-0.063
3821,0.0378,0.0242,0.9798,0.639,1.757,0.265
3834,0.0358,0.0295,0.9849,0.707,1.810,-0.040
3847,0.0332,0.0286,0.9820,0.761,1.757,0.136
3860,0.0402,0.0283,0.9825,0.593,1.535,-0.101
3873,0.0420,0.0308,0.9793,0.730,1.695,-0.139
3886,0.0373,0.0300,0.9810,0.631,1.856,0.021
3899,0.0393,0.0293,0.9842,0.509,1.825,-0.124
3912,0.0371,0.0334,0.9783,0.639,1.909,-0.063
3925,0.0410,0.0376,0.9851,0.524,1.894,-0.055
3938,0.0410,0.0295,0.9908,0.753,1.718,-0.139
3951,0.0424,0.0295,0.9842,0.684,1.802,0.044
3964,0.0346,0.0256,0.9832,0.784,1.963,-0.002
3977,0.0349,0.0256,0.9793,0.639,1.611,-0.063
3990,0.0378,0.0320,0.9817,0.577,1.627,-0.147
4003,0.0398,0.0317,0.9827,0.761,1.726,-0.170
4016,0.0349,0.0295,0.9795,0.539,1.986,-0.071
4029,0.0376,0.0312,0.9800,0.631,1.947,-0.177
4042,0.0410,0.0227,0.9832,0.745,1.886,-0.078
4055,0.0356,0.0269,0.9837,0.822,1.665,-0.101
4068,0.0358,0.0298,0.9788,0.776,1.619,-0.032
4081,0.0405,0.0254,0.9847,0.623,1.986,-0.055
4094,0.0356,0.0244,0.9793,0.692,1.802,-0.093
4107,0.0305,0.0322,0.9844,0.745,1.871,-0.124
4120,0.0398,0.0295,0.9800,0.852,1.940,-0.116
4133,0.0332,0.0305,0.9783,0.776,1.924,-0.093
4146,0.0346,0.0281,0.9817,0.738,1.695,0.006
4159,0.0393,0.0305,0.9834,0.555,1.917,0.021
4172,0.0351,0.0283,0.9820,0.509,1.634,-0.048
4185,0.0341,0.0242,0.9881,0.562,1.665,0.006
4198,0.0449,0.0293,0.9785,0.669,1.840,0.021
4211,0.0380,0.0310,0.9856,0.745,1.902,0.067
4224,0.0422,0.0259,0.9783,0.784,1.757,0.029
4237,0.0363,0.0273,0.9876,0.753,1.711,-0.002
4250,0.0319,0.0325,0.9805,0.745,1.695,-0.071
4263,0.0351,0.0256,0.9783,0.600,1.680,0.021
4276,0.0390,0.0342,0.9903,0.631,1.932,0.021
4289,0.0385,0.0305,0.9805,0.577,1.940,-0.093
4302,0.0407,0.0286,0.9805,0.577,1.619,-0.009
4315,0.0420,0.0286,0.9756,0.700,1.871,-0.017
4328,0.0407,0.0286,0.9776,0.639,1.848,0.029
4341,0.0336,0.0298,0.9854,0.608,1.764,-0.025
4354,0.0361,0.0315,0.9851,0.814,1.840,-0.116
4367,0.0334,0.0254,0.9834,0.440,1.924,-0.170
4380,0.0410,0.0303,0.9815,0.623,1.741,0.021
4393,0.0385,0.0332,0.9866,0.585,1.749,0.021
4406,0.0417,0.0298,0.9749,0.661,1.833,-0.261
4419,0.0405,0.0317,0.9871,0.631,1.833,0.036
4432,0.0412,0.0261,0.9715,0.700,1.787,0.059
4445,0.0371,0.0359,0.9912,0.692,1.734,-0.032
4458,0.0363,0.0251,0.9837,0.913,2.016,-0.154
4471,0.0393,0.0256,0.9785,0.677,1.566,-0.109
4484,0.0354,0.0283,0.9893,0.646,1.772,0.143
4497,0.0393,0.0320,0.9749,0.562,1.711,0.036
4510,0.0322,0.0256,0.9805,0.692,1.657,0.075
4523,0.0380,0.0273,0.9783,0.684,1.833,-0.055
4536,0.0368,0.0320,0.9890,0.547,1.779,-0.009
4549,0.0390,0.0300,0.9832,0.654,1.734,0.036
4562,0.0354,0.0251,0.9805,0.692,1.856,-0.025
4575,0.0415,0.0308,0.9798,0.646,1.695,-0.086
4588,0.0312,0.0281,0.9822,0.509,1.810,-0.040
