time,ax,ay,az,gx,gy,gz
0.0,0.8828,-0.0817,0.4469,-0.209,2.932,-0.162
12.0,0.8704,-0.0887,0.4522,-0.331,2.451,-0.33
25.0,0.8673,-0.101,0.4577,0.585,1.382,-1.009
38.0,0.8698,-0.093,0.4552,2.501,0.092,-1.712
51.0,0.8762,-0.0804,0.4374,3.669,-0.648,-2.071
64.0,0.8836,-0.0663,0.43,4.005,-0.389,-1.719
77.0,0.8886,-0.0542,0.4275,2.417,0.497,-0.971
90.0,0.8883,-0.0563,0.4242,-0.056,1.695,0.097
103.0,0.8774,-0.0736,0.4324,-1.316,2.375,1.013
116.0,0.8686,-0.0924,0.4361,-0.537,2.466,0.998
129.0,0.8684,-0.0935,0.4422,0.906,2.581,0.38
142.0,0.8691,-0.0862,0.4427,1.181,2.398,-0.2
155.0,0.8685,-0.0841,0.4455,1.066,2.077,-0.544
168.0,0.8786,-0.0807,0.4369,1.119,1.802,-0.62
181.0,0.8842,-0.0856,0.4323,0.791,1.65,-0.765
194.0,0.8896,-0.0931,0.4348,1.135,1.566,-0.994
207.0,0.8979,-0.0902,0.4385,2.432,1.215,-1.017
220.0,0.9016,-0.0768,0.4328,2.768,1.222,-0.635
233.0,0.9008,-0.0684,0.4447,2.341,2.024,0.097
246.0,0.8866,-0.0725,0.4602,0.585,2.138,0.769
259.0,0.873,-0.0786,0.4632,0.295,1.512,0.937
272.0,0.8595,-0.0866,0.4701,0.272,-0.007,0.296
285.0,0.8657,-0.0815,0.4604,0.921,-1.526,-0.177
298.0,0.8745,-0.0826,0.4423,1.15,-2.503,-0.498
311.0,0.8787,-0.0809,0.4291,1.715,-2.618,-0.811
324.0,0.8784,-0.0752,0.4247,1.784,-2.053,-0.872
337.0,0.8802,-0.072,0.4164,1.936,-1.152,-0.925
350.0,0.88,-0.0653,0.4132,1.776,0.054,-0.765
363.0,0.8712,-0.0632,0.4169,0.524,1.039,-0.246
376.0,0.8679,-0.0657,0.4197,-0.705,1.627,0.403
389.0,0.8648,-0.0763,0.4167,-1.11,2.047,0.685
402.0,0.863,-0.0813,0.4237,-0.247,2.001,0.754
415.0,0.8725,-0.0872,0.4204,0.715,1.779,0.349
428.0,0.8791,-0.074,0.4174,2.135,2.382,0.357
441.0,0.8798,-0.0657,0.4268,1.631,3.199,0.746
454.0,0.8825,-0.0726,0.4224,0.402,3.963,1.601
467.0,0.8855,-0.0887,0.4342,-0.529,4.734,1.868
480.0,0.8756,-0.1008,0.4413,0.432,4.795,1.388
493.0,0.8724,-0.0928,0.4431,1.058,4.321,0.51
506.0,0.8741,-0.09,0.4549,1.868,3.657,-0.009
519.0,0.8857,-0.0812,0.4551,2.348,2.802,0.082
532.0,0.8873,-0.0745,0.4466,1.646,2.405,0.349
545.0,0.8803,-0.0754,0.4479,1.142,2.047,0.609
558.0,0.88,-0.083,0.443,-0.079,1.688,0.693
571.0,0.8831,-0.092,0.4368,0.013,1.352,0.449
584.0,0.8862,-0.0957,0.4362,0.959,1.039,0.273
597.0,0.888,-0.0829,0.4366,1.631,1.421,0.197
610.0,0.8837,-0.0817,0.4379,1.478,2.031,0.441
623.0,0.8736,-0.084,0.4508,-0.117,2.077,0.609
636.0,0.8707,-0.0909,0.4479,-0.652,1.596,0.449
649.0,0.8719,-0.0939,0.4485,-0.598,1.062,-0.2
662.0,0.8747,-0.0955,0.4502,0.593,0.909,-0.788
675.0,0.8768,-0.0796,0.4453,1.822,0.528,-1.048
688.0,0.8769,-0.0675,0.4374,1.432,0.657,-0.811
701.0,0.8772,-0.0653,0.4346,0.234,0.314,-0.406
714.0,0.8869,-0.0765,0.4314,-0.896,0.619,-0.437
727.0,0.8842,-0.0814,0.4319,-0.247,1.077,-0.345
740.0,0.8757,-0.0829,0.4325,0.883,1.1,-0.261
753.0,0.8748,-0.0781,0.4311,1.234,0.757,-0.391
766.0,0.8778,-0.0785,0.4236,0.944,0.795,-0.727
779.0,0.8851,-0.0807,0.4317,0.768,1.062,-1.2
792.0,0.8879,-0.0758,0.423,1.577,1.451,-1.162
805.0,0.8845,-0.0681,0.4274,1.326,1.856,-0.689
818.0,0.8789,-0.068,0.4284,0.898,2.115,-0.093
831.0,0.8732,-0.0734,0.4292,0.448,2.451,0.388
844.0,0.8719,-0.0841,0.4358,-0.545,2.535,0.38
857.0,0.8765,-0.0959,0.4358,-0.316,2.344,0.105
870.0,0.8806,-0.0959,0.4351,1.15,2.184,-0.536
883.0,0.88,-0.083,0.4351,2.119,2.26,-0.925
896.0,0.8796,-0.0697,0.4325,2.371,2.382,-0.948
909.0,0.88,-0.071,0.4316,0.89,2.634,-0.635
922.0,0.8869,-0.0708,0.4379,-0.071,2.863,-0.635
935.0,0.8803,-0.088,0.4418,0.097,2.298,-0.674
948.0,0.8757,-0.0841,0.4419,2.387,1.413,-0.635
961.0,0.8781,-0.0701,0.4388,3.707,0.894,-0.322
974.0,0.8831,-0.0555,0.4308,2.265,1.008,0.136
987.0,0.8866,-0.0613,0.4261,-0.392,2.024,0.8
1000.0,0.8878,-0.0767,0.4322,-1.514,3.008,1.143
1013.0,0.874,-0.0938,0.4369,-1.216,3.115,1.265
1026.0,0.8648,-0.1047,0.4447,0.158,2.451,0.762
1039.0,0.8612,-0.0986,0.4411,1.906,1.665,-0.025
1052.0,0.8662,-0.0869,0.4355,2.188,1.65,-0.559
1065.0,0.8795,-0.0767,0.4229,0.868,1.818,-0.742
1078.0,0.8823,-0.079,0.422,-0.331,2.604,-0.704
1091.0,0.8857,-0.0792,0.4195,-0.026,3.344,-0.551
1104.0,0.8797,-0.0763,0.4131,0.646,3.795,-0.376
1117.0,0.8737,-0.0802,0.416,-0.3,4.131,-0.452
1130.0,0.8757,-0.0883,0.4145,0.28,4.818,-0.933
1143.0,0.8783,-0.0917,0.4279,1.463,5.398,-1.742
1156.0,0.8774,-0.0737,0.441,3.448,5.673,-1.941
1169.0,0.873,-0.0564,0.4482,3.173,5.589,-1.582
1182.0,0.8761,-0.0602,0.4576,1.265,4.818,-0.788
1195.0,0.8869,-0.072,0.4473,-0.491,4.367,-0.284
1208.0,0.8858,-0.0881,0.4484,-1.293,4.405,-0.33
1221.0,0.8811,-0.0968,0.4528,0.242,4.153,-0.628
