trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,UUUII,803.0,427,813,323,958,680,0.0544,-0.2068,0.9781,-1.331,1.23,-0.017
1,UUUII,816.0,964,982,1114,264,502,0.0605,-0.2075,0.9607,-1.491,0.894,0.242
1,UUUII,829.0,375,806,635,995,661,0.0612,-0.2117,0.9727,-1.4,0.535,0.464
1,UUUII,842.0,307,445,246,1223,1046,0.0607,-0.2126,0.9627,-1.01,0.237,0.609
1,UUUII,855.0,668,1258,665,637,319,0.0705,-0.2175,0.9615,-1.071,0.062,0.471
1,UUUII,868.0,1300,660,1185,364,664,0.0671,-0.2234,0.9644,-0.766,-0.106,0.41
1,UUUII,881.0,1081,853,409,318,797,0.0698,-0.2273,0.9593,-0.522,-0.221,0.433
1,UUUII,894.0,938,985,902,508,982,0.0766,-0.2319,0.9507,-0.69,-0.335,0.372
1,UUUII,907.0,845,763,1012,762,597,0.0732,-0.2366,0.959,-0.545,-0.312,0.38
1,UUUII,920.0,925,1063,485,1050,1271,0.0752,-0.2395,0.9566,-0.59,-0.312,0.296
1,UUUII,933.0,684,626,722,705,742,0.0722,-0.2476,0.9514,-0.751,-0.091,0.395
1,UUUII,946.0,619,552,610,312,1002,0.0705,-0.2522,0.9517,-0.522,-0.068,0.258
1,UUUII,959.0,1046,223,929,903,1008,0.0703,-0.2527,0.9576,-0.69,0.054,0.403
1,UUUII,972.0,1187,857,341,329,1205,0.0712,-0.2476,0.9619,-0.743,0.131,0.212
1,UUUII,985.0,795,782,487,608,326,0.0651,-0.2488,0.9712,-0.514,0.398,-0.002
1,UUUII,998.0,876,1262,602,907,648,0.061,-0.2478,0.9624,-0.3,0.543,-0.109
1,UUUII,1011.0,248,657,1170,557,252,0.0647,-0.2446,0.9607,-0.361,0.81,-0.376
1,UUUII,1024.0,282,973,957,349,1094,0.0581,-0.2385,0.9707,-0.155,0.955,-0.452
1,UUUII,1037.0,801,997,1185,1059,283,0.0571,-0.2358,0.9693,-0.132,0.802,-0.475
1,UUUII,1050.0,1040,1291,309,596,514,0.0556,-0.2327,0.972,0.104,0.718,-0.475
1,UUUII,1063.0,1172,571,1017,643,319,0.0546,-0.2241,0.9651,0.242,0.39,-0.46
1,UUUII,1076.0,318,1068,1006,822,664,0.0622,-0.2253,0.9649,0.119,0.237,-0.2
1,UUUII,1089.0,307,1130,1201,564,1156,0.0617,-0.2251,0.9668,-0.125,0.108,0.128
1,UUUII,1102.0,392,574,625,439,1050,0.0629,-0.2205,0.9654,-0.308,0.024,0.22
1,UUUII,1115.0,332,550,435,819,911,0.0651,-0.2261,0.9722,-0.247,-0.022,0.456
1,UUUII,1128.0,538,1206,226,1160,273,0.0683,-0.2285,0.9593,-0.27,-0.182,0.479
1,UUUII,1141.0,929,409,1167,454,433,0.0739,-0.2285,0.9656,-0.331,-0.129,0.609
1,UUUII,1154.0,725,1014,862,534,1077,0.0732,-0.2324,0.9649,-0.491,0.054,0.639
1,UUUII,1167.0,592,1122,641,1076,536,0.0756,-0.2312,0.9702,-0.384,0.367,0.479
1,UUUII,1180.0,237,673,554,603,705,0.0688,-0.2339,0.9627,-0.797,0.825,0.418
1,UUUII,1193.0,1236,610,1149,634,978,0.0693,-0.2383,0.9583,-0.98,0.474,0.09
1,UUUII,1206.0,807,681,304,824,502,0.0676,-0.2363,0.9659,-1.033,0.902,0.021
1,UUUII,1219.0,568,402,610,218,890,0.0649,-0.2314,0.9637,-1.125,0.909,0.044
1,UUUII,1232.0,648,683,394,1084,615,0.061,-0.2424,0.9549,-1.041,0.718,0.044
1,UUUII,1245.0,1300,1192,712,428,852,0.0732,-0.2314,0.9654,-0.72,0.398,-0.246
1,UUUII,1258.0,1094,291,959,502,728,0.0705,-0.2307,0.9705,-0.224,0.665,-0.17
1,UUUII,1271.0,212,811,581,578,1146,0.0654,-0.2295,0.9585,-0.201,0.787,0.044
1,UUUII,1284.0,797,322,614,1192,1298,0.0725,-0.2285,0.9637,-0.201,0.741,-0.04
1,UUUII,1297.0,438,1001,1282,459,830,0.0712,-0.2258,0.9688,-0.033,0.703,0.181
1,UUUII,1310.0,454,864,1009,1278,1055,0.069,-0.231,0.9612,-0.308,0.543,0.25
1,UUUII,1323.0,1076,960,1267,468,802,0.0632,-0.2339,0.9671,-0.277,0.642,0.441
1,UUUII,1336.0,896,541,1092,1227,445,0.0669,-0.2358,0.9641,-0.3,0.36,0.548
1,UUUII,1349.0,526,494,459,648,655,0.0686,-0.2336,0.9615,-0.323,0.153,0.471
1,UUUII,1362.0,1074,201,286,393,1235,0.0722,-0.2344,0.9605,-0.018,-0.014,0.54
1,UUUII,1375.0,448,230,1273,849,1118,0.0737,-0.2346,0.9629,0.211,-0.014,0.281
1,UUUII,1388.0,255,898,900,331,687,0.0769,-0.2341,0.961,0.112,0.115,0.067
1,UUUII,1401.0,404,770,357,527,238,0.0783,-0.23,0.9593,0.188,0.428,-0.17
1,UUUII,1414.0,785,200,863,865,1103,0.073,-0.2297,0.9622,0.44,0.634,-0.414
1,UUUII,1427.0,917,461,1019,664,1111,0.0654,-0.2261,0.9693,0.333,0.947,-0.674
1,UUUII,1440.0,254,487,1105,493,1254,0.0654,-0.228,0.9639,0.158,1.108,-0.666
1,UUUII,1453.0,464,562,1004,996,1272,0.0649,-0.2251,0.9683,0.02,0.978,-0.651
1,UUUII,1466.0,316,267,419,901,872,0.0642,-0.2246,0.9661,-0.316,0.764,-0.582
1,UUUII,1479.0,736,1080,834,938,477,0.0595,-0.2258,0.9685,-0.384,0.573,-0.719
1,UUUII,1492.0,440,759,1229,507,1172,0.0688,-0.2212,0.9715,-0.346,0.413,-0.643
1,UUUII,1505.0,641,1105,339,401,394,0.0647,-0.2273,0.96,-0.659,1.039,-0.101
1,UUUII,1518.0,882,785,995,927,1265,0.0639,-0.2239,0.951,-0.697,0.726,0.013
1,UUUII,1531.0,389,1075,1000,498,600,0.059,-0.2297,0.9688,-0.629,0.795,0.304
1,UUUII,1544.0,293,1174,666,1161,707,0.062,-0.2319,0.9637,-0.4,0.528,0.174
1,UUUII,1557.0,690,917,410,753,407,0.0656,-0.2324,0.9698,0.02,0.482,0.388
1,UUUII,1570.0,1179,662,849,460,595,0.0669,-0.2358,0.9588,0.234,0.428,0.479
1,UUUII,1583.0,201,298,284,500,1189,0.0659,-0.2388,0.9585,0.104,0.375,0.502
1,UUUII,1596.0,1068,757,519,1191,587,0.0678,-0.2366,0.9554,0.112,0.436,0.51
1,UUUII,1609.0,726,776,1038,383,385,0.0725,-0.2363,0.9654,0.005,0.405,0.525
1,UUUII,1622.0,217,958,691,623,1209,0.0661,-0.2388,0.9585,-0.01,0.535,0.281
1,UUUII,1635.0,1095,785,1206,305,838,0.0764,-0.2334,0.9624,0.203,0.459,0.227
1,UUUII,1648.0,734,1093,1185,1155,418,0.0708,-0.2271,0.9651,0.234,0.741,0.09
1,UUUII,1661.0,1219,1133,798,336,686,0.0712,-0.2227,0.961,-0.232,0.871,-0.055
1,UUUII,1674.0,743,1275,1250,865,472,0.0715,-0.2288,0.9668,-0.186,0.81,-0.208
1,UUUII,1687.0,223,254,750,901,859,0.07,-0.2234,0.9644,-0.255,0.94,-0.177
1,UUUII,1700.0,739,328,723,1082,395,0.0678,-0.2239,0.9639,-0.346,0.871,-0.147
1,UUUII,1713.0,328,900,264,227,381,0.0615,-0.2209,0.9644,-0.087,0.863,-0.162
1,UUUII,1726.0,230,357,1037,779,992,0.0615,-0.217,0.9605,-0.171,0.863,0.021
1,UUUII,1739.0,985,1034,599,887,293,0.0615,-0.218,0.9649,-0.079,0.657,-0.109
1,UUUII,1752.0,876,345,454,1227,1268,0.0639,-0.218,0.968,-0.071,0.573,-0.017
1,UUUII,1765.0,1101,1065,929,782,665,0.0637,-0.2161,0.9695,-0.277,0.543,-0.002
1,UUUII,1778.0,529,873,537,467,355,0.0637,-0.2183,0.9637,-0.644,0.421,0.113
1,UUUII,1791.0,701,516,1033,1109,502,0.0654,-0.2224,0.9666,-0.888,0.192,0.273
