trial_id,sign_name,time_ms,flex_right_1,flex_right_2,flex_right_3,flex_right_4,flex_right_5,flex_left_1,flex_left_2,flex_left_3,flex_left_4,flex_left_5,ax_right,ay_right,az_right,gx_right,gy_right,gz_right,ax_left,ay_left,az_left,gx_left,gy_left,gz_left
1,J,0.0,958,440,493,242,603,1163,1288,1051,1201,1764,-0.0074,-0.6325999999999999,0.6980999999999999,0.178,0.07800000000000007,0.056999999999999995,0.9134,-0.07669999999999999,0.2474,0.03999999999999998,1.208,-0.14900000000000002
1,J,22.0,1016,212,703,645,1004,1510,841,1309,769,1623,-0.012799999999999999,-0.6276999999999999,0.7066,-0.517,0.269,0.088,0.9125000000000001,-0.0754,0.25120000000000003,0.0020000000000000018,1.36,-0.16399999999999998
1,J,35.0,1005,1110,614,647,1105,1371,801,1311,1397,686,-0.0098,-0.6301,0.7041999999999999,-0.944,0.06300000000000006,0.096,0.9136,-0.07369999999999999,0.2474,0.292,1.4440000000000002,-0.126
1,J,48.0,900,664,879,748,616,919,1354,1402,708,881,-0.0113,-0.634,0.7,-0.8680000000000001,-0.04399999999999993,0.187,0.9147000000000001,-0.07020000000000001,0.252,0.09400000000000003,1.368,0.126
1,J,61.0,887,1233,705,450,800,633,1519,601,1235,1057,-0.0118,-0.6345,0.6960999999999999,-1.257,0.29900000000000004,0.056999999999999995,0.9152,-0.07719999999999999,0.2547,-0.135,1.4060000000000001,0.317
1,J,74.0,632,664,549,1203,787,358,1419,1253,661,1368,-0.0123,-0.6378999999999999,0.6998,-1.242,0.528,-0.133,0.9100999999999999,-0.0801,0.2587,0.16299999999999998,1.383,0.325
1,J,87.0,216,912,485,461,1270,1724,487,1433,1111,1488,-0.0135,-0.6376999999999999,0.6937,-1.089,0.42900000000000005,-0.14900000000000002,0.9128000000000001,-0.0824,0.25930000000000003,0.415,1.2530000000000001,0.256
1,J,100.0,1206,1185,254,1094,601,527,1363,1253,770,428,-0.012499999999999999,-0.6309,0.6931999999999999,-0.418,0.04700000000000004,-0.41600000000000004,0.9147000000000001,-0.0812,0.25630000000000003,0.567,1.246,0.355
1,J,113.0,258,788,924,990,1285,648,905,1375,1109,737,-0.0091,-0.6262,0.7014999999999999,-0.097,-0.04399999999999993,-0.46900000000000003,0.9172,-0.0779,0.2541,0.36900000000000005,1.3760000000000001,0.447
1,J,126.0,973,274,1194,513,659,339,343,312,711,598,-0.0123,-0.6223,0.7043999999999999,-0.524,0.15400000000000003,-0.5459999999999999,0.9106000000000001,-0.0806,0.2545,0.605,1.4669999999999999,0.18
1,J,139.0,314,572,1173,1151,735,1739,468,1764,1677,369,-0.0113,-0.6295999999999999,0.7041999999999999,-0.425,0.131,-0.385,0.9101999999999999,-0.0786,0.2545,0.9179999999999999,1.315,0.157
1,J,152.0,985,1142,266,860,413,666,1725,1797,300,793,-0.0096,-0.6292,0.7029,0.437,0.0020000000000000018,-0.37,0.9095,-0.07300000000000001,0.2523,0.49900000000000005,1.093,0.034999999999999996
1,J,165.0,614,654,861,1295,632,1650,1313,1194,1056,1371,-0.0116,-0.6244999999999999,0.7041999999999999,0.6280000000000001,0.017000000000000015,-0.35500000000000004,0.9109,-0.0814,0.2531,0.34600000000000003,1.093,0.119
1,J,178.0,330,1056,1263,259,835,795,1149,991,631,1032,-0.0101,-0.6244999999999999,0.7049,0.018000000000000016,0.05500000000000005,-0.309,0.9115,-0.07800000000000001,0.25630000000000003,0.728,1.078,0.172
1,J,191.0,264,1266,1098,593,821,1439,352,613,519,595,-0.0113,-0.6292,0.6976,-0.647,0.04700000000000004,-0.019000000000000003,0.9129,-0.0758,0.2513,0.7429999999999999,1.086,0.317
1,J,204.0,890,967,1258,1142,1246,394,1589,1255,449,1553,-0.0133,-0.6331,0.7049,-0.5549999999999999,0.09300000000000008,-0.011000000000000003,0.9158,-0.0741,0.24730000000000002,0.48300000000000004,1.116,0.424
1,J,217.0,323,735,610,1243,545,1668,1530,1557,1151,1771,-0.014,-0.6353,0.7063999999999999,0.018000000000000016,-0.18199999999999994,-0.019000000000000003,0.9157,-0.07700000000000001,0.2514,-0.013000000000000012,1.292,0.317
1,J,230.0,1037,974,1293,584,323,1036,1705,1459,1092,1315,-0.0152,-0.6356999999999999,0.7002999999999999,0.7809999999999999,-0.487,-0.126,0.9131,-0.0869,0.2553,0.063,1.047,0.157
1,J,243.0,913,490,479,1259,963,1492,1439,1052,842,1247,-0.012799999999999999,-0.6355,0.71,1.1019999999999999,-0.5559999999999999,-0.28600000000000003,0.9152,-0.0797,0.2523,1.163,0.9790000000000001,0.011999999999999997
1,J,256.0,566,863,808,932,684,590,797,1455,791,543,-0.0106,-0.6301,0.6986,2.216,-0.747,-0.36200000000000004,0.9114,-0.0743,0.253,0.8799999999999999,0.8720000000000001,0.23299999999999998
1,J,269.0,308,560,310,1128,1058,354,1525,1479,459,1026,-0.0101,-0.6301,0.7056,1.6969999999999998,-0.945,-0.248,0.9135,-0.07400000000000001,0.2531,0.6439999999999999,0.849,0.33999999999999997
1,J,282.0,708,252,248,692,648,814,526,334,1280,568,-0.0118,-0.6252,0.7078,1.544,-0.19699999999999995,-0.309,0.9108,-0.0731,0.2526,0.796,1.307,0.355
1,J,295.0,400,435,262,783,208,1284,1547,559,998,1321,-0.0103,-0.6353,0.713,1.537,-0.21999999999999997,-0.568,0.9125000000000001,-0.0748,0.2569,1.269,1.5360000000000003,0.5840000000000001
